blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,total_dwelling_units,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold
669B,EDGEFIELD PLAINS,18,2015,PG,180,32,74,74,0,0,0
670,EDGEFIELD PLAINS,7,2015,PG,0,0,0,0,0,0,0
670A,EDGEFIELD PLAINS,17,2015,PG,128,96,32,0,0,0,0
670B,EDGEFIELD PLAINS,17,2015,PG,128,0,96,32,0,0,0
670C,EDGEFIELD PLAINS,17,2015,PG,128,96,32,0,0,0,0
671,EDGEFIELD PLAINS,2,2015,PG,0,0,0,0,0,0,0
671A,EDGEFIELD PLAINS,17,2014,PG,128,0,128,0,0,0,0
671B,EDGEFIELD PLAINS,15,2015,PG,84,0,84,0,0,0,0
672,EDGEFIELD PLAINS,8,2014,PG,0,0,0,0,0,0,0
672A,EDGEFIELD PLAINS,16,2014,PG,120,90,0,0,0,0,0
672B,EDGEFIELD PLAINS,17,2014,PG,128,64,0,0,0,0,0
672C,EDGEFIELD PLAINS,17,2014,PG,96,32,0,0,0,0,0
672D,EDGEFIELD PLAINS,17,2014,PG,128,0,128,0,0,0,0
673A,EDGEFIELD PLAINS,18,2015,PG,116,34,82,0,0,0,0
673B,EDGEFIELD PLAINS,17,2015,PG,92,32,60,0,0,0,0
673C,EDGEFIELD PLAINS,17,2014,PG,124,0,124,0,0,0,0
676,PUNGGOL DR,3,2015,PG,0,0,0,0,0,0,0
676A,PUNGGOL DR,17,2015,PG,88,0,88,0,0,0,0
676B,PUNGGOL DR,17,2015,PG,116,0,72,44,0,0,0
676C,PUNGGOL DR,17,2015,PG,62,0,32,30,0,0,0
676D,PUNGGOL DR,17,2015,PG,78,0,46,32,0,0,0
677,PUNGGOL DR,2,2015,PG,0,0,0,0,0,0,0
677A,PUNGGOL DR,17,2015,PG,126,0,32,30,0,0,47
677B,PUNGGOL DR,17,2015,PG,124,0,32,0,0,0,72
677C,PUNGGOL DR,17,2015,PG,96,0,32,64,0,0,0
677D,PUNGGOL DR,17,2015,PG,110,0,39,71,0,0,0
678,PUNGGOL DR,2,2015,PG,0,0,0,0,0,0,0
678A,PUNGGOL DR,17,2015,PG,94,0,94,0,0,0,0
678B,PUNGGOL DR,17,2015,PG,124,0,78,46,0,0,0
678C,PUNGGOL DR,17,2015,PG,86,0,27,59,0,0,0
679A,PUNGGOL DR,17,2015,PG,90,0,60,30,0,0,0
679B,PUNGGOL DR,14,2015,PG,52,0,26,26,0,0,0
679C,PUNGGOL DR,12,2015,PG,66,0,33,33,0,0,0
697,JURONG WEST CTRL 3,8,2015,JW,0,0,0,0,0,0,0
7,SENJA LINK,1,2015,BP,0,0,0,0,0,0,0
7,UPP ALJUNIED LANE,18,2015,TP,102,68,34,0,0,0,0
70,TELOK BLANGAH HTS,4,2015,BM,0,0,0,0,0,0,0
747,BEDOK RESERVOIR CRES,1,2014,BD,0,0,0,0,0,0,0
747A,BEDOK RESERVOIR CRES,14,2014,BD,81,14,27,40,0,0,0
747B,BEDOK RESERVOIR CRES,14,2014,BD,81,0,41,40,0,0,0
747C,BEDOK RESERVOIR CRES,14,2014,BD,80,0,54,26,0,0,0
748,BEDOK RESERVOIR CRES,7,2014,BD,0,0,0,0,0,0,0
748A,BEDOK RESERVOIR CRES,15,2014,BD,86,29,29,28,0,0,0
748B,BEDOK RESERVOIR CRES,15,2014,BD,73,30,29,14,0,0,0
748C,BEDOK RESERVOIR CRES,15,2014,BD,87,29,29,29,0,0,0
764B,WOODLANDS CIRCLE,14,2015,WL,128,0,0,0,0,0,105
780D,WOODLANDS CRES,16,2014,WL,90,0,90,0,0,0,0
780F,WOODLANDS CRES,16,2014,WL,155,35,0,0,0,0,0
780G,WOODLANDS CRES,1,2014,WL,0,0,0,0,0,0,0
782D,WOODLANDS CRES,16,2014,WL,135,30,75,30,0,0,0
782E,WOODLANDS CRES,16,2014,WL,120,0,60,60,0,0,0
782F,WOODLANDS CRES,1,2014,WL,0,0,0,0,0,0,0
803A,KEAT HONG CL,14,2015,CCK,113,26,87,0,0,0,0
803B,KEAT HONG CL,15,2015,CCK,124,28,96,0,0,0,0
804A,KEAT HONG CL,14,2015,CCK,115,26,89,0,0,0,0
804B,KEAT HONG CL,16,2015,CCK,132,0,42,90,0,0,0
805,KEAT HONG CL,3,2015,CCK,0,0,0,0,0,0,0
805A,KEAT HONG CL,16,2015,CCK,87,0,60,27,0,0,0
807,CHAI CHEE RD,5,2015,BD,0,0,0,0,0,0,0
807A,CHAI CHEE RD,15,2015,BD,126,42,84,0,0,0,0
807A,CHOA CHU KANG AVE 1,15,2015,CCK,154,84,0,0,0,0,0
807B,CHAI CHEE RD,15,2015,BD,154,14,42,0,0,0,0
807B,CHOA CHU KANG AVE 1,16,2015,CCK,120,0,90,30,0,0,0
807C,CHAI CHEE RD,15,2015,BD,140,42,70,28,0,0,0
807C,CHOA CHU KANG AVE 1,17,2015,CCK,128,0,64,64,0,0,0
808A,CHAI CHEE RD,15,2015,BD,138,28,110,0,0,0,0
808A,CHOA CHU KANG AVE 1,16,2015,CCK,120,0,90,30,0,0,0
808B,CHAI CHEE RD,15,2015,BD,154,14,42,0,0,0,0
808C,CHAI CHEE RD,15,2015,BD,140,42,98,0,0,0,0
808D,CHOA CHU KANG AVE 1,16,2015,CCK,120,0,90,30,0,0,0
809,CHOA CHU KANG AVE 1,6,2015,CCK,0,0,0,0,0,0,0
809A,CHOA CHU KANG AVE 1,16,2015,CCK,120,0,30,90,0,0,0
809B,CHOA CHU KANG AVE 1,15,2015,CCK,112,56,28,0,0,0,0
815,CHOA CHU KANG AVE 7,7,2015,CCK,0,0,0,0,0,0,0
815A,CHOA CHU KANG AVE 7,19,2015,CCK,144,0,144,0,0,0,0
85,DAWSON RD,7,2015,QT,0,0,0,0,0,0,0
86,DAWSON RD,47,2015,QT,320,0,240,80,0,0,0
86A,DAWSON RD,1,2015,QT,0,0,0,0,0,0,0
868A,TAMPINES AVE 8,16,2014,TAP,90,30,60,0,0,0,0
868B,TAMPINES AVE 8,16,2014,TAP,118,0,58,0,0,0,57
868C,TAMPINES AVE 8,15,2014,TAP,126,42,0,0,0,0,75
868D,TAMPINES AVE 8,1,2015,TAP,0,0,0,0,0,0,0
869A,TAMPINES AVE 8,16,2014,TAP,90,30,60,0,0,0,0
869B,TAMPINES AVE 8,15,2014,TAP,98,56,42,0,0,0,0
87,DAWSON RD,47,2015,QT,320,160,160,0,0,0,0
870A,TAMPINES ST 86,16,2015,TAP,135,0,90,45,0,0,0
870B,TAMPINES ST 86,5,2015,TAP,0,0,0,0,0,0,0
870C,TAMPINES ST 86,1,2015,TAP,0,0,0,0,0,0,0
871B,TAMPINES ST 86,16,2015,TAP,135,0,90,45,0,0,0
871C,TAMPINES ST 86,16,2015,TAP,110,0,35,75,0,0,0
88,DAWSON RD,47,2015,QT,320,0,282,38,0,0,0
889,WOODLANDS DR 50,7,2015,WL,0,0,0,0,0,0,0
889A,WOODLANDS DR 50,16,2015,WL,120,0,90,30,0,0,0
889B,WOODLANDS DR 50,16,2015,WL,90,0,60,30,0,0,0
889C,WOODLANDS DR 50,16,2015,WL,88,0,60,28,0,0,0
889D,WOODLANDS DR 50,16,2015,WL,118,0,88,30,0,0,0
89,DAWSON RD,43,2015,QT,154,22,99,12,0,0,19
89A,DAWSON RD,4,2014,QT,0,0,0,0,0,0,0
890,TAMPINES AVE 1,4,2014,TAP,0,0,0,0,0,0,0
890A,TAMPINES AVE 1,16,2014,TAP,120,30,90,0,0,0,0
890B,TAMPINES AVE 1,16,2014,TAP,120,30,90,0,0,0,0
890C,TAMPINES AVE 1,14,2014,TAP,55,39,16,0,0,0,0
9,JOO SENG RD,18,2015,TP,146,34,112,0,0,0,0
9A,BOON TIONG RD,40,2014,BM,156,0,78,78,0,0,0
9B,BOON TIONG RD,40,2014,BM,156,0,78,78,0,0,0
9C,BOON TIONG RD,1,2015,BM,0,0,0,0,0,0,0
90,DAWSON RD,43,2015,QT,150,22,95,12,0,0,20
91,DAWSON RD,43,2015,QT,150,22,95,12,0,0,19
92,DAWSON RD,43,2015,QT,154,22,86,25,0,0,18
93,DAWSON RD,43,2015,QT,150,22,84,23,0,0,18
